Product Name,SKU,dynamic_price,Regular Price,Short Description,Description,Meta Title,Meta Description,Sale Price,Quantity,Weight,Pkg WT %,MRP %,Multiplier,Ship Mult,Discount %,Brand Name,Category,Tag,attribute_name,attribute_value,gallery,thumbnail,meta_image
Mamaearth Deeply Nourishing Body Wash for Babies and Gentle Cleansing Shampoo Combo,NDMA15415,TRUE,448,"A gentle and nourishing combo for babies including body wash and shampoo made with natural ingredients. Cleanses softly, hydrates skin, strengthens hair, and is safe for daily use. Tear-free, toxin-free, and perfect for newborns and sensitive skin.","About this item

Gentle Cleansing for Delicate Skin: Specially formulated body wash and shampoo combo that cleanses without irritation, perfect for newborns and babies with sensitive skin.

Natural & Nourishing Ingredients: Enriched with Aloe Vera, Coconut-based cleansers, and Calendula to hydrate, soothe, and protect your baby’s skin and scalp.

Tear-Free Formula: Designed to keep your baby comfortable and happy during bath time with a mild, no-tears formula that is safe for the eyes.

Chemical-Free & Safe: Made without sulfates, parabens, silicones, mineral oil, or artificial fragrances—ensuring gentle care for your baby.

Soft Skin & Healthy Hair: Helps maintain skin moisture, improves hair texture, and keeps the scalp clean and fresh with every wash.

Dermatologically Tested: Hypoallergenic and pediatrician-approved for daily use on babies.",Mamaearth Baby Body Wash & Shampoo Combo,"Gentle and tear-free Mamaearth baby body wash and shampoo combo with natural ingredients. Nourishes skin, cleanses softly, strengthens hair, and is safe for newborns.",448,1000,400,25,25,1.4,1.4,17,Mamaearth,"Baby,Baby Bathing Care","Mamaearth Baby Wash, Mamaearth Shampoo, Baby Bath Combo, Baby Body Wash, Gentle Baby Wash, Tear Free Baby Shampoo, Natural Baby Care, Baby Skincare, Baby Hair Care, Mamaearth Products",Pack Size,200 ml (Combo of 2),"mamaearth-deeply-nourishing-body-wash-for-babies-and-gentle-cleansing-shampoo-combo-1.png, mamaearth-deeply-nourishing-body-wash-for-babies-and-gentle-cleansing-shampoo-combo-2.png, mamaearth-deeply-nourishing-body-wash-for-babies-and-gentle-cleansing-shampoo-combo-3.png",mamaearth-deeply-nourishing-body-wash-for-babies-and-gentle-cleansing-shampoo-combo-1.png,mamaearth-deeply-nourishing-body-wash-for-babies-and-gentle-cleansing-shampoo-combo-1.png
Mamaearth Moisturizing Bathing Bar and Gentle Cleansing Shampoo Combo,NDMA15416,TRUE,448,"A gentle baby care combo with moisturizing bathing bars and a mild shampoo. Keeps baby’s skin soft, nourished, and hydrated while cleansing the scalp gently. Tear-free, toxin-free, and perfect for newborns and sensitive skin.","Moisturizing Baby Bathing Bars: Enriched with Shea Butter, Goat Milk, and Oatmeal, these bathing bars deeply moisturize, soothe dryness, and keep baby’s skin soft and supple.

Gentle Cleansing Shampoo: A mild, tear-free shampoo that gently cleanses the scalp while nourishing and strengthening baby’s hair.

Perfect for Sensitive Skin: Designed for newborns and babies with delicate skin, offering gentle cleansing without irritation or dryness.

Natural & Safe Ingredients: Made with plant-based cleansers and natural moisturizers. Free from sulfates, parabens, silicones, mineral oil, and artificial fragrances.

Maintains Skin pH Balance: The bathing bars are pH-balanced to protect the baby's skin barrier and keep it healthy.

Dermatologically Tested: Hypoallergenic, safe, and suitable for daily use on babies of all ages.",Mamaearth Baby Bathing Bar & Shampoo Combo,"Mamaearth moisturizing bathing bar and gentle shampoo combo for babies. Tear-free, natural, and ideal for sensitive skin. Nourishes, hydrates, and cleanses safely.",448,1000,350,25,25,1.4,1.4,17,Mamaearth,"Baby,Baby Bathing Care","Mamaearth Baby Combo, Baby Bathing Bar, Baby Shampoo, Gentle Baby Wash, Moisturizing Baby Soap, Tear Free Shampoo, Natural Baby Care, Baby Skincare, Mamaearth Products, Sensitive Skin Baby Care",Pack Size,350 g (Pack of 2),"mamaearth-moisturizing-bathing-bar-and-gentle-cleansing-shampoo-combo-1.png, mamaearth-moisturizing-bathing-bar-and-gentle-cleansing-shampoo-combo-2.png, mamaearth-moisturizing-bathing-bar-and-gentle-cleansing-shampoo-combo-3.png",mamaearth-moisturizing-bathing-bar-and-gentle-cleansing-shampoo-combo-1.png,mamaearth-moisturizing-bathing-bar-and-gentle-cleansing-shampoo-combo-1.png
Mamaearth Gentle Cleansing Shampoo,NDMA15417,TRUE,398,"A mild and tear-free baby shampoo that gently cleanses the scalp while nourishing and strengthening hair. Made with natural ingredients, safe for sensitive skin, and free from toxins, sulfates, and parabens. Perfect for newborns and daily use.","Mild & Gentle Cleansing: Specially designed for babies, this shampoo gently cleanses the scalp without causing irritation or dryness.

Tear-Free Formula: Keeps bath time comfortable with a no-tears formulation that is safe for your baby’s delicate eyes.

Natural & Nourishing Ingredients: Enriched with Coconut-based cleansers, Calendula Extract, and Aloe Vera to soothe, hydrate, and maintain hair softness.

Safe for Sensitive Skin: Hypoallergenic and dermatologically tested, making it perfect for newborns and babies with delicate or sensitive skin.

Free From Harmful Chemicals: Contains no sulfates, parabens, silicones, mineral oil, or artificial fragrances—ensuring safe, toxin-free care.

Soft, Healthy Hair: Keeps baby’s hair soft, smooth, and manageable with every wash.",Mamaearth Gentle Cleansing Baby Shampoo,"Mamaearth Gentle Cleansing Shampoo for babies with tear-free, natural formula. Cleanses softly, nourishes hair, and is perfect for sensitive skin and daily use.",398,1000,400,25,25,1.4,1.4,17,Mamaearth,"Baby,Baby Bathing Care","Mamaearth Baby Shampoo, Gentle Cleansing Shampoo, Tear Free Baby Shampoo, Baby Hair Care, Natural Baby Shampoo, Sensitive Skin Baby Care, Baby Bath Essentials, Mamaearth Products",Pack Size,200 ml (Pack of 2),"mamaearth-gentle-cleansing-shampoo-1.png, mamaearth-gentle-cleansing-shampoo-2.png, mamaearth-gentle-cleansing-shampoo-3.png",mamaearth-gentle-cleansing-shampoo-1.png,mamaearth-gentle-cleansing-shampoo-1.png
Mamaearth Nourishing Hair Oil for Babies with Almond and Avocado Oil,NDMA15418,TRUE,399,"A gentle, nourishing baby hair oil enriched with Almond and Avocado Oils to strengthen roots, moisturize the scalp, and promote healthy hair growth. Lightweight, non-sticky, and dermatologically tested, making it perfect for newborns and sensitive skin.","Deep Nourishment for Baby Hair: Formulated with Almond and Avocado Oils to nourish the scalp, strengthen hair roots, and improve hair texture naturally.

Promotes Healthy Hair Growth: Rich in vitamins and essential fatty acids that support healthy and soft hair growth in babies.

Lightweight & Non-Sticky: Absorbs easily into the scalp without leaving a greasy feel, making it comfortable for daily baby hair massage.

Safe for Sensitive Skin: Hypoallergenic, dermatologically tested, and suitable for newborns and babies with delicate or sensitive skin.

Natural & Toxin-Free: Made without silicones, mineral oil, parabens, dyes, or artificial fragrance—ensuring gentle and safe care.

Soothes Dry Scalp: Helps reduce dryness and keeps the scalp moisturized and healthy with regular use.",Mamaearth Baby Hair Oil with Almond & Avocado,"Mamaearth Baby Hair Oil with Almond and Avocado nourishes the scalp, strengthens roots, and promotes soft, healthy hair. Non-sticky, natural, and safe for newborns.",399,1000,200,25,25,1.4,1.4,17,Mamaearth,"Baby,Baby Hair Care","Mamaearth Baby Hair Oil, Almond Baby Oil, Avocado Baby Oil, Baby Hair Care, Baby Scalp Care, Natural Baby Oil, Nourishing Hair Oil, Baby Massage Oil, Toxin Free Baby Oil, Mamaearth Products",Pack Size,200 ml,"mamaearth-nourishing-hair-oil-for-babies-with-almond-and-avocado-oil-1.png, mamaearth-nourishing-hair-oil-for-babies-with-almond-and-avocado-oil-2.png, mamaearth-nourishing-hair-oil-for-babies-with-almond-and-avocado-oil-3.png",mamaearth-nourishing-hair-oil-for-babies-with-almond-and-avocado-oil-1.png,mamaearth-nourishing-hair-oil-for-babies-with-almond-and-avocado-oil-1.png
"Mamaearth Soothing Massage Oil for Babies with Sesame, Almond and Jojoba Oil",NDMA15419,TRUE,399,"A soothing baby massage oil enriched with Sesame, Almond, and Jojoba Oils to nourish skin, strengthen bones, and promote relaxation. Lightweight, non-sticky, and dermatologically tested, it keeps baby’s skin soft, hydrated, and healthy. Perfect for daily massage.","Deep Nourishment for Baby’s Skin: This gentle massage oil blends Sesame, Almond, and Jojoba Oils to deeply nourish, moisturize, and protect delicate baby skin.

Strengthens Bones & Muscles: Sesame and Almond Oils are rich in vitamins and minerals that help support healthy bone and muscle development.

Lightweight & Non-Sticky: Absorbs quickly without leaving a greasy layer, making massage time smooth, comfortable, and soothing for your baby.

Promotes Relaxation & Better Sleep: The calming formula helps relax the baby’s body, making it ideal for bedtime massages to support peaceful sleep.

Safe & Natural Formula: Free from mineral oil, parabens, silicones, artificial fragrances, and other toxins—perfect for newborns and sensitive skin.

Dermatologically Tested: Hypoallergenic and safe for daily use, ensuring your baby’s skin stays soft, supple, and healthy.",Mamaearth Soothing Baby Massage Oil,"Mamaearth Soothing Baby Massage Oil with Sesame, Almond & Jojoba nourishes skin, supports strong bones, and keeps skin soft. Lightweight, natural, and safe for newborns.",399,1000,200,25,25,1.4,1.4,17,Mamaearth,"Baby,Baby Oil","Mamaearth Baby Massage Oil, Soothing Baby Oil, Sesame Baby Oil, Almond Baby Oil, Jojoba Baby Oil, Baby Skincare, Natural Baby Oil, Baby Body Care, Toxin Free Baby Oil, Mamaearth Products",Pack Size,200 ml,"mamaearth-soothing-massage-oil-for-babies-with-sesame-almond-and-jojoba-oil-1.png, mamaearth-soothing-massage-oil-for-babies-with-sesame-almond-and-jojoba-oil-2.png, mamaearth-soothing-massage-oil-for-babies-with-sesame-almond-and-jojoba-oil-3.png",mamaearth-soothing-massage-oil-for-babies-with-sesame-almond-and-jojoba-oil-1.png,mamaearth-soothing-massage-oil-for-babies-with-sesame-almond-and-jojoba-oil-1.png
Mamaearth Coco Soft Massage Oil with Coconut & Turmeric Oil for Babies,NDMA15420,TRUE,399,"A nourishing baby massage oil enriched with Coconut and Turmeric Oils that hydrates skin, strengthens muscles, and protects naturally. Lightweight, non-sticky, and gentle on sensitive skin. Helps keep baby’s skin soft, supple, and healthy with daily use.","Nourishing Coconut & Turmeric Blend: Formulated with Coconut Oil to moisturize and Turmeric Oil to soothe and protect delicate baby skin naturally.

Strengthens Muscles & Bones: Provides gentle nourishment that supports healthy muscle and bone development during daily massages.

Lightweight & Non-Sticky: Absorbs quickly into the skin without greasiness, ensuring a smooth, comfortable massage every time.

Protects & Hydrates Skin: Keeps the baby’s skin soft, supple, and well-hydrated while helping prevent dryness and irritation.

Safe for Sensitive Skin: Dermatologically tested, hypoallergenic, and perfect for newborns and babies with delicate or sensitive skin.

Toxin-Free & Natural: Free from mineral oil, parabens, silicones, artificial fragrance, and harsh chemicals—safe for everyday use.",Mamaearth Coco Soft Baby Massage Oil,"Mamaearth Coco Soft Massage Oil with Coconut & Turmeric nourishes, hydrates, and protects baby skin. Lightweight, non-sticky, natural, and safe for newborns.",399,1000,200,25,25,1.4,1.4,17,Mamaearth,"Baby,Baby Oil","Mamaearth Baby Massage Oil, Coco Soft Oil, Coconut Baby Oil, Turmeric Baby Oil, Baby Skincare, Natural Baby Oil, Massage Oil for Babies, Sensitive Skin Baby Care, Mamaearth Products",Pack Size,200 ml,"mamaearth-coco-soft-massage-oil-with-coconut-turmeric-oil-for-babies-1.png, mamaearth-coco-soft-massage-oil-with-coconut-turmeric-oil-for-babies-2.png, mamaearth-coco-soft-massage-oil-with-coconut-turmeric-oil-for-babies-3.png",mamaearth-coco-soft-massage-oil-with-coconut-turmeric-oil-for-babies-1.png,mamaearth-coco-soft-massage-oil-with-coconut-turmeric-oil-for-babies-1.png
Mamaearth Nourishing Hair Oil for babies,NDMA15421,TRUE,299,"A gentle and nourishing baby hair oil enriched with natural oils to moisturize the scalp, strengthen roots, and promote healthy hair growth. Lightweight, non-sticky, dermatologically tested, and perfect for newborns and babies with sensitive skin.","Deeply Nourishes Baby Hair: Specially formulated hair oil that moisturizes the scalp, strengthens roots, and supports soft and healthy hair growth.

Made with Natural Oils: Enriched with a blend of safe, plant-based oils that soothe dryness, protect the scalp, and improve hair texture.

Lightweight & Non-Sticky: Absorbs easily without leaving a greasy feel, making it ideal for daily baby hair massages.

Perfect for Sensitive Skin: Gentle, hypoallergenic formula suitable for newborns and babies with delicate or sensitive skin.

Safe & Toxin-Free: Free from parabens, silicones, mineral oil, artificial fragrance, and other harmful chemicals.

Dermatologically Tested: Designed to be mild, safe, and effective for everyday use on baby hair and scalp.",Mamaearth Nourishing Baby Hair Oil,"Mamaearth Nourishing Hair Oil for babies moisturizes the scalp, strengthens roots, and supports healthy hair growth. Lightweight, gentle, and safe for newborns.",299,1000,100,25,25,1.4,2,17,Mamaearth,"Baby,Baby Oil","Mamaearth Baby Hair Oil, Nourishing Hair Oil, Baby Scalp Care, Natural Baby Oil, Baby Hair Care, Gentle Hair Oil, Toxin Free Baby Oil, Baby Massage Oil, Mamaearth Products",Pack Size,100 ml,"mamaearth-nourishing-hair-oil-for-babies-1.png, mamaearth-nourishing-hair-oil-for-babies-2.png, mamaearth-nourishing-hair-oil-for-babies-3.png",mamaearth-nourishing-hair-oil-for-babies-1.png,mamaearth-nourishing-hair-oil-for-babies-1.png
Mamaearth Soothing Massage Oil,NDMA15422,TRUE,299,"A gentle, nourishing baby massage oil enriched with natural oils to moisturize skin, strengthen bones, and promote relaxation. Lightweight, non-sticky, and dermatologically tested—perfect for newborns and babies with sensitive skin.","Deep Skin Nourishment: This soothing massage oil is enriched with natural oils that deeply moisturize and nourish delicate baby skin.

Supports Healthy Bones & Muscles: Helps strengthen bones and muscles with regular massage, making it ideal for daily baby care.

Lightweight & Non-Greasy: Absorbs easily without leaving a sticky residue, giving your baby a smooth and comforting massage experience.

Calming & Relaxing: Promotes relaxation and helps prepare your baby for better sleep during bedtime massages.

Safe for Sensitive Skin: Dermatologically tested, hypoallergenic, and suitable for newborns and sensitive skin types.

Toxin-Free Formula: Made without mineral oil, parabens, silicones, artificial fragrances, or harsh chemicals.",Mamaearth Soothing Baby Massage Oil,"Mamaearth Soothing Massage Oil gently nourishes baby skin, strengthens bones, and promotes relaxation. Lightweight, natural, non-sticky, and safe for newborns.",299,1000,100,25,25,1.4,2,17,Mamaearth,"Baby,Baby Oil","Mamaearth Massage Oil, Baby Massage Oil, Soothing Baby Oil, Natural Baby Oil, Gentle Baby Care, Baby Skincare, Toxin Free Baby Oil, Baby Body Care, Mamaearth Products",Pack Size,100 ml,"mamaearth-soothing-massage-oil-1.png, mamaearth-soothing-massage-oil-2.png, mamaearth-soothing-massage-oil-3.png",mamaearth-soothing-massage-oil-1.png,mamaearth-soothing-massage-oil-1.png
Mamaearth Dusting Powder with Organic Oatmeal and Arrowroot Powder for Babies,NDMA15423,TRUE,349,"A gentle dusting powder for babies made with Organic Oatmeal and Arrowroot Powder to absorb moisture, prevent rashes, and keep skin fresh. Calming, non-talcy, and safe for sensitive skin. Ideal for daily use to keep your baby’s skin dry, soft, and comfortable.","Prevents Rashes & Irritation: Effectively absorbs excess moisture to keep baby’s skin dry and comfortable, helping prevent diaper rashes and skin irritation.

Organic Oatmeal for Soothing Care: Enriched with Organic Oatmeal that calms sensitive skin, reduces redness, and provides gentle nourishment.

Natural Arrowroot Powder: Helps keep the skin soft and smooth while improving moisture balance without clogging pores.

Safe & Talc-Free Formula: Completely free from talc, making it safe for newborns and babies with delicate skin.

Gentle for Daily Use: Dermatologically tested and hypoallergenic, suitable for everyday use on sensitive skin areas.

Toxin-Free & Baby-Safe: Contains no parabens, silicones, artificial fragrances, mineral oil, or harsh chemicals.",Mamaearth Baby Dusting Powder,"Mamaearth Dusting Powder with Organic Oatmeal and Arrowroot keeps baby skin dry, soft, and rash-free. Talc-free, gentle, and perfect for newborns and sensitive skin.",349,1000,300,25,25,1.4,1.4,17,Mamaearth,"Baby,Baby Oil","Mamaearth Dusting Powder, Baby Powder, Talc Free Baby Powder, Oatmeal Baby Powder, Arrowroot Baby Powder, Baby Skincare, Rash Prevention Powder, Natural Baby Care, Sensitive Skin Baby Powder, Mamaearth Products",Pack Size,300 g,"mamaearth-dusting-powder-with-organic-oatmeal-and-arrowroot-powder-for-babies-1.png, mamaearth-dusting-powder-with-organic-oatmeal-and-arrowroot-powder-for-babies-2.png, mamaearth-dusting-powder-with-organic-oatmeal-and-arrowroot-powder-for-babies-3.png",mamaearth-dusting-powder-with-organic-oatmeal-and-arrowroot-powder-for-babies-1.png,mamaearth-dusting-powder-with-organic-oatmeal-and-arrowroot-powder-for-babies-1.png
Mamaearth Dusting Powder for Babies,NDMA15424,TRUE,199,"A gentle, talc-free baby dusting powder that absorbs moisture, prevents rashes, and keeps skin dry and soft. Enriched with natural ingredients, it soothes irritation and is safe for newborns and sensitive skin. Ideal for daily freshness and comfort.","Prevents Diaper Rashes & Irritation: Helps keep baby’s skin dry by absorbing excess moisture, reducing the chances of rashes and discomfort.

Safe Talc-Free Formula: Made without talc, ensuring safer and gentler protection for newborns and sensitive skin.

Soothes Delicate Skin: Enriched with natural soothing ingredients that calm redness, irritation, and itchiness.

Keeps Skin Fresh & Soft: Maintains long-lasting freshness while making the skin feel soft, smooth, and comfortable.

Dermatologically Tested: Hypoallergenic and safe for daily use on babies of all ages.

Free From Toxins: Contains no parabens, mineral oil, silicones, artificial fragrances, or harsh chemicals.",Mamaearth Baby Dusting Powder,"Mamaearth Dusting Powder for babies absorbs moisture, prevents rashes, and keeps skin soft. Talc-free, gentle, and safe for newborns and sensitive skin.",199,1000,180,25,25,2,1.4,17,Mamaearth,"Baby,Baby Skin Care","Mamaearth Dusting Powder, Baby Powder, Talc Free Baby Powder, Baby Rash Prevention, Natural Baby Powder, Baby Skincare, Sensitive Skin Baby Care, Mamaearth Products",Pack Size,150 g,"mamaearth-dusting-powder-for-babies-1.png, mamaearth-dusting-powder-for-babies-2.png, mamaearth-dusting-powder-for-babies-3.png",mamaearth-dusting-powder-for-babies-1.png,mamaearth-dusting-powder-for-babies-1.png
